"Category","CheckId","CheckName","Error","FindingCount","Result","ScanNote","ScanTimeUtc"
"ACE","ACE-002","Dangerous ACE: GenericWrite (non-privileged principal)","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"ACE","ACE-003","Dangerous ACE: WriteDacl (non-privileged principal)","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"ACE","ACE-004","Dangerous ACE: WriteOwner (non-privileged principal)","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"ACE","ACE-005","Broad ACE: WriteProperty (non-privileged principal)","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Security_Accounts","AD-005","KRBTGT Account Password Age","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC1","ESC1 Enrollee-supplied SAN (certificate template)","Check 'ADCS-ESC1': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC2","ESC2 Any Purpose or missing EKU (certificate template)","Check 'ADCS-ESC2': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC3","ESC3 Certificate Request Agent chain (templates)","Check 'ADCS-ESC3': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC4","ESC4 Weak template object ACLs","Check 'ADCS-ESC4': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC5","ESC5 Weak ACLs on critical PKI containers","Check 'ADCS-ESC5': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC6","ESC6 CA EDITF_ATTRIBUTESUBJECTALTNAME2 (policy module)","Check 'ADCS-ESC6': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC7","ESC7 Weak ACLs on Enterprise CA object","Check 'ADCS-ESC7': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Certificate_Services","ADCS-ESC8","ESC8 Web Enrollment over HTTP / relay surface","Check 'ADCS-ESC8': RootDSE has no ConfigurationNamingContext.","0","Error","","2026-04-02T05:42:52.9223307Z"
"Advanced_Security","ADV-001","Print Spooler Service on DCs","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Advanced_Security","ADV-002","Zerologon Vulnerability Check","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
